label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,,,
NGC7445,MCG6-50-15,ANDROMEDA,15.6,autumn,0.7,344.85,39.1,Galaxy,eF;vS,,,
NGC7446,ZwG515.17,ANDROMEDA,15.7,autumn,0.8,344.875,39.08333333,Galaxy,eF;vS;R;r ,,,
NGC7449,UGC12292,ANDROMEDA,14,autumn,1,344.9,39.15,Galaxy,vF;S;R;vS* in centre,,,
NGC7618,UGC12516,ANDROMEDA,13,autumn,1.2,349.95,42.85,Galaxy,F;S;R;gbM ,,,
NGC7640,UGC12554,ANDROMEDA,11.3,autumn,10,350.525,40.85,Galaxy,cF;L;mE164;vlbM;r ,,,
PK107-13.1,Vy2-3,ANDROMEDA,13.9,autumn,0.076666667,350.75,46.9,Planetary Nebula,,,,
UGC12588,MCG+07-48-005,ANDROMEDA,13.2,autumn,1.9,351.175,41.33333333,Galaxy,,,,
NGC7662,PK106-17.1,ANDROMEDA,8.6,autumn,0.283333333,351.475,42.53333333,Planetary Nebula,!!! Planetary or annular neb;vB;pS;R;blue,BCH ,,
UGC12632,PGC71596,ANDROMEDA,12.1,autumn,4.9,352.5,41,Galaxy,,,,
NGC7686,OCL251,ANDROMEDA,5.6,autumn,15,352.525,49.13333333,Open Cluster20,Cl;P;lC;st 7...11 , H ,,
NGC7707,UGC12683,ANDROMEDA,13.4,autumn,1.3,353.725,44.3,Galaxy,eF;S;R;*9-10 p;vnr ,,,
Av-Hunter1,,ANDROMEDA,99.9,autumn,47,354.45,48.56666667,Open Cluster16,,,,
PK110-12.1,K1-20,ANDROMEDA,16.5,autumn,0.616666667,354.775,48.21666667,Planetary Nebula,,,,
MCG+08-01-016,,ANDROMEDA,12,autumn,1,359.8,46.88333333,Galaxy,Inner Regions Completely Black--MCG,,,
MCG+08-01-018,,ANDROMEDA,12,autumn,0.4,359.975,47.26666667,Galaxy,Inner Regions Very Black--MCG ,,,
NGC2904,ESO434-6,ANTLIA,12.4,spring,1.5,142.575,-29.61666667,Galaxy,F;S;lE;psbM,,,
ESO373-G008,,ANTLIA,12,spring,5.8,143.325,-32.96666667,Galaxy,,,,
PK248+8.1,He2-10,ANTLIA,99.9,spring,0.2,144.05,-25.6,Galaxy,,,,
NGC2973,,ANTLIA,99.9,spring,,145.4,-29.95,3 Star,eF;pS;*8 f,,,
