label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,
NGC620,UGC 1150,ANDROMEDA,14,autumn,1,1.616666667,42.31666667,Galaxy,eF;vS;R;lbM,
PK130-11.1,M1- 1 ,ANDROMEDA,14.3,autumn,6s,1.621666667,50.46666667,Planetary Nebula - ,,
NGC653,UGC 1193,ANDROMEDA,13.4,autumn,1.5,1.706666667,35.63333333,Galaxy,vF;pL;mE;lbM;sevinv ,
NGC662,UGC 1220,ANDROMEDA,12.9,autumn,0.8,1.743333333,37.7,Galaxy,F;S;R;mbM ,
NGC668,UGC 1238,ANDROMEDA,13.1,autumn,1.8,1.773333333,36.46666667,Galaxy,pF;pS;R;gbM,
NGC679,UGC 1283,ANDROMEDA,12.3,autumn,2.1,1.828333333,35.78333333,Galaxy,F;stellar ,
NGC687,UGC 1298,ANDROMEDA,12.3,autumn,1.4,1.843333333,36.36666667,Galaxy,vF;stellar,
NGC700,ZwG 522. 30 ,ANDROMEDA,14.4,autumn,0.8,1.871666667,36.03333333,Galaxy,eF;vS;R;sp 703 ,
NGC704,UGC 1343,ANDROMEDA,14,autumn,0.6,1.876666667,36.13333333,Galaxy,vF;vS;R;2nd of 4,
Abell262, ,ANDROMEDA,13,autumn,100.8,1.878333333,36.15,Galaxy clust. - ,,
NGC703,UGC 1346,ANDROMEDA,13.3,autumn,1.2,1.878333333,36.16666667,Galaxy,vF;vS;R;1st of 4,
NGC705,UGC 1345,ANDROMEDA,13.6,autumn,1.2,1.878333333,36.15,Galaxy,vF;vS;R;3rd of 4,
NGC708,UGC 1348,ANDROMEDA,12.7,autumn,3,1.88,36.15,Galaxy,F;pL;bM;4th of 4,
NGC709,ZwG 522. 40 ,ANDROMEDA,14.3,autumn,1,1.88,36.21666667,Galaxy,vF;pS;bet 2*;group sp,
NGC710,UGC 1349,ANDROMEDA,13.7,autumn,1.3,1.881666667,36.05,Galaxy,vF;pS;2*S ,
NGC712,UGC 1352,ANDROMEDA,12.8,autumn,1.3,1.885,36.81666667,Galaxy,vF;R;am pB stars,
NGC714,UGC 1358,ANDROMEDA,13.1,autumn,1.5,1.891666667,36.21666667,Galaxy,F;vS;R;2*13 p & np ,
NGC717,UGC 1363,ANDROMEDA,13.9,autumn,1.3,1.898333333,36.23333333,Galaxy,vF;pS;*15 sf 1',
NGC721,UGC 1376,ANDROMEDA,13.5,autumn,1.7,1.913333333,39.38333333,Galaxy,eF;pL,
UGC1385,Mrk2,ANDROMEDA,13.4,autumn,0.8,1.915,36.91666667,Galaxy,,
NGC732,UGC 1406,ANDROMEDA,13.5,autumn,1.4,1.941666667,36.8,Galaxy,vF*Inv vF;vS;R;neby ,
NGC752,OCL 363,ANDROMEDA,5.7,autumn,50,1.961666667,37.66666667,Open Cluster - 60,Cl;vvL;Ri;*L & S;C , CH 
NGC753,UGC 1437,ANDROMEDA,12.3,autumn,2.5,1.961666667,35.91666667,Galaxy,pB;pL;R;gmbM ,
NGC759,UGC 1440,ANDROMEDA,12.7,autumn,1.8,1.963333333,36.35,Galaxy,Cl;vS;R ,
NGC746,UGC 1438,ANDROMEDA,13,autumn,1.9,1.965,44.91666667,Galaxy,vF;pS;lE;sevnr ,
NGC797,UGC 1541,ANDROMEDA,12.6,autumn,1.6,2.058333333,38.11666667,Galaxy,vF;S;iR;sbM;* nr,
NGC801,UGC 1550,ANDROMEDA,13.1,autumn,3.1,2.061666667,38.26666667,Galaxy,eF;pS;iR;D* close f ,
NGC812,UGC 1598,ANDROMEDA,11.2,autumn,3,2.115,44.56666667,Galaxy,eF;pL;E45;bM ,
NGC818,UGC 1633,ANDROMEDA,12.5,autumn,2.9,2.145,38.78333333,Galaxy,pB;cL;lE;mbM ,
NGC828,UGC 1655,ANDROMEDA,12.3,autumn,2.9,2.17,39.18333333,Galaxy,pB;S;iR;D* f 15'' ,
NGC834,UGC 1672,ANDROMEDA,13.1,autumn,1.1,2.183333333,37.66666667,Galaxy,vF;S;lE ,
NGC841,UGC 1676,ANDROMEDA,12.6,autumn,1.8,2.188333333,37.5,Galaxy,pB;vS;mbMN=*13;14 ,
NGC846,NGC 847,ANDROMEDA,12.1,autumn,1.9,2.203333333,44.56666667,Galaxy,eF;vS;R;gbM,
NGC847,NGC 846,ANDROMEDA,13.1,autumn,1.9,2.203333333,44.56666667,Galaxy,vF;pL;R ,
NGC845,UGC 1695,ANDROMEDA,13.5,autumn,1.7,2.205,37.48333333,Galaxy,vF;iF;stellar ,
NGC891,UGC 1831,ANDROMEDA,9.9,autumn,13.1,2.376666667,42.35,Galaxy,B;vL;vmE22,BCH 
NGC898,UGC 1842,ANDROMEDA,12.9,autumn,1.8,2.388333333,41.95,Galaxy,eF;vS;lE ,
Abell347, ,ANDROMEDA,13,autumn,56,2.418333333,41.86666667,Galaxy clust. - ,13''-2 gals F;pS;R;nBM;6 others vF;S at 165X ,
NGC906,UGC 1868,ANDROMEDA,12.9,autumn,1.8,2.421666667,42.08333333,Galaxy,eF;iE,
