UM,NGC,CONSTELLATION,MAG,VIEW,Ang. Size (Amin), Rt. Asc., Declin., TYPE, OBJECT REMARKS
NGC 317-2 ,NGC 317B ,ANDROMEDA,13.9,autumn,1.1,00 57.7,+43 47,"Galaxy -  , , , , "
UGC 625 ,IC 65 ,ANDROMEDA,12.8,autumn,3.9,01 00.9,+47 41,"Galaxy -  , , ,eF;pL;mE;B star sf , "
UGC 703 ,NGC 389 ,ANDROMEDA,13.8,autumn,1.3,01 08.5,+39 42,"Galaxy -  , , ,eF;eS;R;* nr , "
UGC 707 ,NGC 393 ,ANDROMEDA,12.5,autumn,1.7,01 08.6,+39 39,"Galaxy -  , , ,F;vS;vlE;gbM;4 S st nr ,H I 54 "
UGC 718 ,NGC 404 ,ANDROMEDA,10.3,autumn,4.3,01 09.4,+35 43,"Galaxy -  , , H ,pB;cL;R;gbM ,H II 224;UGC 718;Beta AND sf 6' "
UGC 758 ,NGC 425 ,ANDROMEDA,12.6,autumn,1,01 13.0,+38 46,"Galaxy -  , , ,vF;vS;R;lbM;* 11 att , "
UGC 776 ,NGC 431 ,ANDROMEDA,12.9,autumn,1.4,01 14.1,+33 42,"Galaxy -  , , ,F;S;vsbM , "
 ,NGC 464 ,ANDROMEDA,99.9,autumn,,01 19.4,+34 57,"2 Star -  , , ,S , "
UGC 886 ,NGC 477 ,ANDROMEDA,13,autumn,2.2,01 21.3,+40 29,"Galaxy -  , , ,vF;pS;vlE;vglbM ,H III 577;2 main arms split into several secondary arms;UGC 886 "
UGC 944 ,NGC 512 ,ANDROMEDA,13.2,autumn,1.6,01 24.0,+33 54,"Galaxy -  , , ,vF;vS , "
UGC 953 ,NGC 513 ,ANDROMEDA,12.9,autumn,0.7,01 24.4,+33 48,"Galaxy -  , , ,F;S;stellar ,H III 169;UGC 953 "
NGC 537 ,NGC 523 ,ANDROMEDA,12.7,autumn,2.5,01 25.3,+34 01,"Galaxy -  , , ,Dneb;vF;vS; pos 90 deg; dist 30'' ,H III 170?;Peculiar;UGC 979 "
NGC 523 ,NGC 537 ,ANDROMEDA,13.5,autumn,2.5,01 25.3,+34 01,"Galaxy -  , , ,stellar;(=523) ,H III 170 "
UGC 988 ,NGC 528 ,ANDROMEDA,12.5,autumn,1.7,01 25.6,+33 40,"Galaxy -  , , ,F;pL;R;lbM , "
UGC 955 ,NGC 529 ,ANDROMEDA,12.1,autumn,2.4,01 25.7,+34 43,"Galaxy -  , , ,pB;vS;sbM;p of 2 , "
