,NGC 0352,CARINA,12.6,winter,2.6,01 02 09.2,-04 14 45,"Galaxy - pF,S,iE,* 8 f 97 sec,III 191 "
,NGC 0357,CARINA,12,winter,2.9,01 03 21.9,-06 20 22,"Galaxy - F,S,iR,sbM,* 14 nf 20'',II 434 "
,NGC 0379,PISCIS AUSTRINUS,12.9,autumn,1.6,01 07 15.7,+32 31 13,"Galaxy - pF,S,R,bM,II 215 "
,NGC 0380,PISCIS AUSTRINUS,12.5,autumn,1.8,01 07 17.6,+32 28 59,"Galaxy - pF,S,R,sbM,II 216 "
,NGC 0383,PISCIS AUSTRINUS,12.4,autumn,2.0,01 07 24.9,+32 24 45,"Galaxy - pF,pL,R,gbM,nf Dneb,II 217 "
,NGC 0392,PISCIS AUSTRINUS,12.7,autumn,1.5,01 08 23.5,+33 08 00,"Galaxy - F,vS,R,mbM,bet 2 st,II 218 "
,NGC 0393,ANDROMEDA,12.5,autumn,2.2,01 08 37.0,+39 38 39,"Galaxy - F,vS,vlE,gbM,4 S st nr,I 54 "
,NGC 0381,CANIS MAJOR,,winter,8.5,01 08.3,+61 35,"Open Cluster - Cl,pC,VIII 64 "
,NGC 0404,ANDROMEDA,10.3,autumn,4.9,01 09 26.9,+35 43 05,"Galaxy - pB,cL,R,gbM,II 224 "
,NGC 0407,PISCIS AUSTRINUS,13.4,autumn,1.7,01 10 36.5,+33 07 35,"Galaxy - vF,vS,sp of 2,II 219 "
,NGC 0410,PISCIS AUSTRINUS,11.5,autumn,2.7,01 10 58.9,+33 09 07,"Galaxy - pB,pL,nf of 2,II 220 "
,NGC 0420,PISCIS AUSTRINUS,12.1,autumn,2.8,01 12 09.6,+32 07 24,"Galaxy - F,pS,R,bM,III 154 "
,NGC 0426,CARINA,12.9,winter,1.7,01 12 48.6,-00 17 25,"Galaxy - vF,vS,R,III 592 "
,NGC 0428,CARINA,11.5,winter,5.1,01 12 55.6,+00 58 54,"Galaxy - F,L,R,bM,er,II 622 "
,NGC 0429,CARINA,13.4,winter,1.4,01 12 57.4,-00 20 43,"Galaxy - vF,vS,III 593 "
,NGC 0421,PISCIS AUSTRINUS,,autumn,,01 12.2,+32 07,"Not Found - eF,vS,III 155 "
,NGC 0430,CARINA,12.5,winter,1.7,01 13 00.0,-00 15 09,"Galaxy - F,vS,R,vsbM*,II 447 "
,NGC 0450,CARINA,11.5,winter,3.9,01 15 30.4,-00 51 40,"Galaxy - vF,L,III 440 "
,NGC 0436,CANIS MAJOR,8.8,winter,8.5,01 15 58,+58 49.0,"Open Cluster - Cl,S,iF,pC,VII 45 "
,NGC 0459,PISCIS AUSTRINUS,14.4,autumn,1.3,01 18 08.1,+17 33 44,"Galaxy - eF,III 205 "
,NGC 0467,PISCIS AUSTRINUS,11.9,autumn,2.4,01 19 10.1,+03 18 02,"Galaxy - pB,pL,R,gbM,I 108 "
,NGC 0457,CANIS MAJOR,6.4,winter,18.4,01 19 33,+58 17.5,"Open Cluster - Cl,B,L,pRi,*7,8,10 "
,NGC 0470,PISCIS AUSTRINUS,11.8,autumn,3.3,01 19 44.8,+03 24 36,"Galaxy - pB,L,iR,III 250 "
,NGC 0473,PISCIS AUSTRINUS,12.5,autumn,2.0,01 19 55.1,+16 32 41,"Galaxy - eF,S,III 206 "
,NGC 0474,PISCIS AUSTRINUS,11.5,autumn,9.5,01 20 06.7,+03 24 56,"Galaxy - pB,S,smbM,F of 2,III 251 "
,NGC 0477,ANDROMEDA,13,autumn,2.5,01 21 20.3,+40 29 17,"Galaxy - vF,pS,vlE,vglbM,III 577 "
,NGC 0488,PISCIS AUSTRINUS,10.3,autumn,6.5,01 21 46.8,+05 15 25,"Galaxy - pB,L,R,svmbM,*8F10',III 252 "
,NGC 0493,CARINA,12.5,winter,3.5,01 22 09.1,+00 56 47,"Galaxy - vF,L,mE60,lbM,III 594 "
,NGC 0495,PISCIS AUSTRINUS,12.9,autumn,1.5,01 22 55.9,+33 28 18,"Galaxy - vF,S,1st of 3,III 156 "
,NGC 0499,PISCIS AUSTRINUS,12.1,autumn,2.1,01 23 11.5,+33 27 37,"Galaxy - pB,pL,R,3rd of 3,III 158 "
,NGC 0496,PISCIS AUSTRINUS,13.3,autumn,1.8,01 23 11.6,+33 31 48,"Galaxy - vF,vS,2nd of 3,III 157 "
,NGC 0507,PISCIS AUSTRINUS,11.2,autumn,4.4,01 23 40.0,+33 15 22,"Galaxy - vF,pL,R,bM,s of 2,III 159 "
